ROI_ID,S2_ID,LUSE,CCOVER,oldtarget_exp01_RECALL,oldtarget_exp01_PRECISION,oldtarget_exp01_BOA,oldtarget_exp02_RECALL,oldtarget_exp02_PRECISION,oldtarget_exp02_BOA,oldtarget_exp03_RECALL,oldtarget_exp03_PRECISION,oldtarget_exp03_BOA,sen2cor_exp01_RECALL,sen2cor_exp01_PRECISION,sen2cor_exp01_BOA,sen2cor_exp02_RECALL,sen2cor_exp02_PRECISION,sen2cor_exp02_BOA,sen2cor_exp03_RECALL,sen2cor_exp03_PRECISION,sen2cor_exp03_BOA,kappamaskl1c_exp01_RECALL,kappamaskl1c_exp01_PRECISION,kappamaskl1c_exp01_BOA,kappamaskl1c_exp02_RECALL,kappamaskl1c_exp02_PRECISION,kappamaskl1c_exp02_BOA,kappamaskl1c_exp03_RECALL,kappamaskl1c_exp03_PRECISION,kappamaskl1c_exp03_BOA,kappamaskl2a_exp01_RECALL,kappamaskl2a_exp01_PRECISION,kappamaskl2a_exp01_BOA,kappamaskl2a_exp02_RECALL,kappamaskl2a_exp02_PRECISION,kappamaskl2a_exp02_BOA,kappamaskl2a_exp03_RECALL,kappamaskl2a_exp03_PRECISION,kappamaskl2a_exp03_BOA,fmask_exp01_RECALL,fmask_exp01_PRECISION,fmask_exp01_BOA,fmask_exp02_RECALL,fmask_exp02_PRECISION,fmask_exp02_BOA,fmask_exp03_RECALL,fmask_exp03_PRECISION,fmask_exp03_BOA,unet_mobilenetv2_exp01_RECALL,unet_mobilenetv2_exp01_PRECISION,unet_mobilenetv2_exp01_BOA,unet_mobilenetv2_exp02_RECALL,unet_mobilenetv2_exp02_PRECISION,unet_mobilenetv2_exp02_BOA,unet_mobilenetv2_exp03_RECALL,unet_mobilenetv2_exp03_PRECISION,unet_mobilenetv2_exp03_BOA,s2cloudless_exp01_RECALL,s2cloudless_exp01_PRECISION,s2cloudless_exp01_BOA,qa60_exp01_RECALL,qa60_exp01_PRECISION,qa60_exp01_BOA,CDFCNN_RGBI_exp01_RECALL,CDFCNN_RGBI_exp01_PRECISION,CDFCNN_RGBI_exp01_BOA,CDFCNN_RGBISWIR_exp01_RECALL,CDFCNN_RGBISWIR_exp01_PRECISION,CDFCNN_RGBISWIR_exp01_BOA
ROI_3824,20200322T083621_20200322T090310_T34KCG,20,0.7006650429788367,0.9562934847875546,0.9752802045001264,0.9497786796745695,0.8611548556430446,0.9266834561159885,0.9232775932688159,0.9663320850696813,0.9959906024074527,0.9692806441935489,0.9834186273267632,0.7094588418571934,0.5203610570097814,0,NA,0.5,0.967749032999045,0.873992059675631,0.4858379495228952,0.938913341669926,0.903275725922275,0.8517872361330856,0.7128390201224847,0.8869747441759199,0.8466871784729952,0.9574079533903339,0.9651118947812007,0.8551647708645562,0.8153463083033565,0.7361141504366682,0.5655865541929409,0.16867891513560804,0.9920246977103164,0.5841941639105752,0.796663571676883,0.866880225242049,0.46164857397616454,0.991009700929328,0.7691817633753918,0.6474545100479114,0.15601487314085735,0.43573610262675627,0.5563610250894176,0.9940857825556988,0.9027136754698283,0.6146289681815941,0.910587289083287,0.9587661753873102,0.9094598813891781,0.8171478565179352,0.9009791154198621,0.8989517386366843,0.9375794832980563,0.9962173813431335,0.9560824031217601,0.9478760969321706,0.8187194884044041,0.7283028617526544,0.8926948311289106,0.6820257490498778,0.45924843681471317,0.7768620991687278,0.9732570497867465,0.8634478125305162,0.7692104291876231,0.9859695949047105,0.8717944553612966
ROI_3838,20190321T075619_20190321T081839_T35HLE,20,0.08623557883441858,0.9147345806105094,0.9725421147806225,0.9561486486788222,0.8343128897662524,0.9935352887749105,0.9169009463865554,0.8778875669377787,0.9861569051873852,0.937661433270708,0.19586429146898218,0.9972652689152234,0.5979068013679102,0,NA,0.5,0.09804844166610652,0.9972652689152234,0.5489962422832748,0.6131501208486259,0.9863911290322581,0.8061758866506634,0.8711472026560186,0.9449121611757263,0.9331833178724871,0.7540274696959512,0.9772337892383193,0.8751858029291134,0.7903500134276251,0.9363168778832388,0.8926384580251723,0.8423437570101844,0.9520308300796105,0.9191743448046293,0.8246734332638749,0.9540176257128046,0.9082005543563487,0.7282248679616865,0.9316307833256986,0.8615906695060419,0.718560725021311,0.884080370942813,0.8548460910825667,0.7359234612713137,0.9231309724564362,0.861584952831973,0.8889982991674873,0.9686417946842234,0.9431411139411161,0.8668401453631837,0.9588109771227235,0.9316674796885853,0.8868051354439739,0.9735094451003542,0.9408914928793664,0.2307313579804852,0.9984505132674801,0.6153487827458554,0,NA,0.5,0.2577656431832423,1,0.6288828215916211,0.15817742368633067,1,0.5790887118431653
ROI_3838,20190410T075619_20190410T082613_T35HLE,20,0.2343398396640433,0.9518719219936422,0.9065965958114361,0.9609285001160339,NA,NA,NA,0.9518719219936422,0.9065965958114361,0.9609285001160339,0.16548350435656287,1,0.5827417521782814,NA,NA,NA,0.16548350435656287,1,0.5827417521782814,0.07820400902607352,1,0.5391020045130368,NA,0,NA,0.08350765075025118,1,0.5417538253751256,0.001960041506761319,1,0.5009800207533807,NA,0,NA,0.002009454317856143,1,0.5010047271589281,0.14028297069820306,1,0.5701414853491016,NA,0,NA,0.15907630985126742,0.7730729208356679,0.5723923451176002,0.47302884061074235,0.8354375145450315,0.7222555680711398,NA,0,NA,0.5214533954836691,0.8162902227722773,0.7427676519279935,0.06800849900350829,1,0.5340042495017542,0.1885098743267505,1,0.5942549371633753,0,NA,0.5,0,NA,0.5
ROI_3838,20190505T075611_20190505T082331_T35HLE,20,0.8516448523820735,0.9097645539214575,0.9984133615844499,0.9507325215231182,NA,NA,NA,0.9097645539214575,0.9984133615844499,0.9507325215231182,0.9355072627977067,0.9383822265864735,0.791434555532478,NA,0,NA,0.9360329941761654,0.9380055499793352,0.7904485919991036,0.754456253257495,0.951180211529561,0.7660823258170085,NA,0,NA,0.8243921230936573,0.9263542796612327,0.7240781512543945,0.8327449069772712,0.9018184495325039,0.656147664228567,NA,0,NA,0.8339368669129145,0.9019273376075917,0.6566916096454467,0.8603186113440141,0.9593565374721403,0.8255438410034671,NA,0,NA,1,0.8516448523820735,0.5,0.9614811121937954,0.9576357259254913,0.8586544909496399,NA,0,NA,0.9847401935235333,0.9252723292991406,0.7640945217799787,0.6711912801105849,0.9966217352974824,0.8290653039120934,1,0.8516448523820735,0.5,0.022805864624170044,1,0.511402932312085,0.08543134899952405,1,0.542715674499762
ROI_3838,20200229T075841_20200229T082630_T35HLE,20,0.21236601680555503,0.9181570338058888,0.9838737949167397,0.9570497117907475,0.6630019346010475,0.9803251238400893,0.8301995990179145,0.8143646181960044,0.9914136806189149,0.905057676347113,0.08551435841512177,0.9938741022391212,0.5426861220236796,0.0948426367196716,0.984811366976972,0.5472782601443716,0.0896146027965423,0.9901315789473685,0.544538243102307,0.7589603780443476,0.9762929018984382,0.8769956378340487,0.7861322134667107,0.8412057256822599,0.878552620035462,0.8145391454325196,0.9630749062306544,0.89786181022979,0.912250090876045,0.881117899023945,0.9395319678778812,0.7158023875808049,0.9488663017982799,0.854128610205179,0.8573804488429871,0.9390031369815267,0.91191273872488,0.5940203562340967,0.9467296216905162,0.7925041725598865,0.6594630302458359,0.7932345763096657,0.8129198674153104,0.6579574153542903,0.9187069954128441,0.8114404364540123,0.8874045801526718,0.9714871264276335,0.9401910850935121,0.8755485301750578,0.9465884453513582,0.9329425892297565,0.8961562942734533,0.9757218067804567,0.9413609676098982,0.18944020356234095,1,0.5947201017811705,0,NA,0.5,0.2271901126862959,1,0.6135950563431479,0.20330788804071248,1,0.6016539440203562
ROI_3838,20200713T075609_20200713T082205_T35HLE,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROI_3927,20191006T082819_20191006T084959_T34KCD,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROI_3927,20191031T083101_20191031T083825_T34KCD,20,0.6013872109494715,0.9299458307660711,0.9969861901452546,0.9628523223916439,0.9017835795916416,0.595014986590945,0.9239444249105297,0.9899332846690546,0.9882277179623332,0.9823148696293307,0.1076003799548163,0.9998210877862596,0.5537856653678781,0,NA,0.5,0.0948840262334413,1,0.5474420131167207,0.9549188745122202,0.8665800769987944,0.8665543604209257,0.003586286042174724,0.27472527472527475,0.5013774700507471,0.9545781203139412,0.9809843920820637,0.9574371903172425,0.9914895255699322,0.8345822010686058,0.8475017563844549,0,NA,0.5,0.9845802140096537,0.9400057266033138,0.9248726713564539,0.8353101252823989,0.9038620469334889,0.8506336727328981,0.1638215464065414,0.7971149371800837,0.5800801326470247,0.8391079724537546,0.9999932564114667,0.9195479153186694,0.9814194393099199,0.8731399531776395,0.883145303011694,0.06536604026203797,1,0.532683020131019,0.9668517040985508,0.9680787775429611,0.9492223552061476,0.8817326453070445,0.7378696572244959,0.7045751332816632,0.3282886629698087,0.9980293067452343,0.6636553362973916,0.8734403881700553,0.9382536454203868,0.8933593931012274,0.6728280961182994,0.9685144124168514,0.8199140916329783
ROI_3927,20191230T083341_20191230T084321_T34KCD,20,0.6677679953373655,0.8131220882512745,0.9779351959346259,0.888123634889506,0.8478730446294812,0.9545597175916847,0.9181921315870847,0.8454290575143656,0.9997844374072953,0.9219820302396202,0.6491393362079928,0.916154768605761,0.7648659213714957,0,NA,0.5,0.5193305904206378,0.9761549317605215,0.7086868864761461,0.7694530825520502,0.8993683072661555,0.7982031605034431,0.318241995610215,0.9818347933573386,0.6582830159035332,0.717375831119907,0.9920178607866909,0.8354921291704736,0.5991699709836653,0.7433808553971487,0.5917197516841068,0.005661429118907432,0.17195767195767195,0.4989507096009809,0.5858766036491155,0.9551346455912944,0.682348466113511,0.8056310185773904,0.8093407582470545,0.712086493895143,0.33794376894401285,0.6906372374510502,0.6474273201978029,0.8401124941409301,0.966395910196053,0.8026646394106234,0.7812445811127937,0.9256710018970914,0.8275784334550318,0.690398216214333,0.9612893836862403,0.8412422468204428,0.8079266704859122,0.9942000192264556,0.8850230164316966,0.9432794238350115,0.797206725743261,0.7304953610606948,0.8021398101799938,0.71618413583114,0.5816101316366132,0.7331133024288176,0.933439802174025,0.8140210717778709,0.8871426424517069,0.8746303018560414,0.815775794069304
ROI_3927,20200314T082719_20200314T085231_T34KCD,20,0.13040323296575201,0.6713038330620097,0.9373062776377237,0.8322852344771734,0.3699133431307961,1,0.6849566715653981,0.529603691417182,0.9999484482936385,0.7647964644461469,0,NA,0.5,0,NA,0.5,0,NA,0.5,0.09237827438212226,0.92010613207547165,0.5455877061847405,0,0,0.4989026250483801,0.048832097855319376,0.9233350542075375,0.5236169314547006,0.01095160574219328,1,0.5054758028710966,0,NA,0.5,0.005051125581903317,1,0.5025255627909516,0,NA,0.5,0,NA,0.5,0,NA,0.5,0.6582211040402546,0.8926263396620239,0.8231739175481438,0.511579587493032,0.9815742136224416,0.7549269200812381,0.5828725887701192,0.9387449980211952,0.7839401958003316,0,NA,0.5,0,NA,0.5,0,NA,0.5,0,NA,0.5
ROI_3927,20200428T082601_20200428T085242_T34KCD,20,0.04294023876702653,0.514247191011236,1,0.7571235955056179,0.2786491272451303,0.7225319776976058,0.6376404788211318,0.42141768693184806,0.9144811858608894,0.7091466689189546,0.1912808988764045,1,0.5956404494382023,0,NA,0.5,0.11181756082181703,1,0.5559087804109085,0.3834606741573034,0.9997656433091164,0.6917283205918556,0.11307867442448773,0.8807881773399014,0.5562984692914715,0.2775471598970101,1,0.638773579948505,0.5642247191011236,0.9308912946759602,0.7811726767036051,0,NA,0.5,0.3410750880142925,0.9626279104256266,0.6700126533593646,0.4388314606741573,0.902069475240207,0.7183469923351751,0.12243865418669365,0.6505376344086021,0.5601841922272176,0.31664126950764543,0.8733333333333333,0.6565001806817544,0.6995955056179776,0.9649144557401438,0.8492270870457082,0.14672400708322794,0.9931506849315068,0.5733460783898273,0.47286007041143396,0.9745505739657786,0.7359405538476667,0.153438202247191,0.950445434298441,0.5765396337987475,0,NA,0.5,0.0047640449438202245,1,0.5023820224719101,0,NA,0.5
ROI_4348,20190316T052649_20190316T053602_T44SMF,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
ROI_4348,20190502T051659_20190502T052248_T44SMF,60,0.042569698279688595,0.6370477831172364,0.9665703673132481,0.818034074907271,0.8027395198314141,0.9681401470454751,0.9006557473686148,0.7289439052475736,0.9693207918626271,0.8632771407906771,0.1397225496418533,0.9442401960784313,0.5696778455399695,0,NA,0.5,0.06629379832209245,0.9877450980392157,0.5331043033737696,0.5481004624172636,0.8612337939877476,0.7720869331904743,0.0071498457138556475,0.2283653846153846,0.5029219370232623,0.26558644513900315,0.8685944855413584,0.6307124183610378,0.6641581285701332,0.12177078831000432,0.7255913117170567,0.3629863776623768,0.9613314729918278,0.6810985494176958,0.5313785162033229,0.19826303110279112,0.6544077638414438,0.7334300480551273,0.8496848739495798,0.8638305481918518,0.6309926996312185,0.5174031103431251,0.7995887198490519,0.6856802105609475,0.6481495879334473,0.8235633817484311,0.628434128207453,0.9454371845587233,0.8134107815500684,0.9051704673741251,0.931026474686484,0.9507727402982898,0.7810906399078795,0.9379722455429897,0.8878703045129669,0.3031099827726902,0.9832352941176471,0.6514400961224488,0,NA,0.5,0.09339015323238734,1,0.5466950766161937,0.06872789917490253,1,0.5343639495874513
ROI_4348,20190706T051701_20190706T051655_T44SMF,60,0.10685075323933442,0.8653686377921468,0.929175393685517,0.9287387359610437,0.631196385305481,0.9923813445897252,0.815446435136642,0.8013689062718257,0.9697703901958022,0.8982021163617013,0.4092042047465954,0.9912495624781239,0.7043860244469543,0,NA,0.5,0.26605205568747964,1,0.6330260278437398,0.8545316620308493,0.9225489431401607,0.9229745233982456,0.5941326697662236,0.895391295766308,0.7948925110038616,0.7941286026912511,0.953487071977638,0.893214712909197,0.8605642452046383,0.6341976360345011,0.9005908547434784,0.4866086045445616,0.9722622007065288,0.7428695374964308,0.7793919076221073,0.7405490300174752,0.8625614449343284,0.8501607484737926,0.8343377765173,0.9149830527388713,0.5071704538013228,0.5908605431797376,0.7425869085380019,0.7939889183777995,0.8254671313776745,0.8803121381461795,0.8971209767727486,0.910307162231508,0.9432730615287523,0.7823325257023116,0.9828877005347594,0.890739701184284,0.8882758299576291,0.9674924563227426,0.9411720661954603,0.5519271755228841,0.9623960695389266,0.7746736025411722,0.2819419860564245,0.7336905433352134,0.634849505374905,0.4199689340028176,0.999828001375989,0.7099801454428819,0.4489036592854821,1,0.724451829642741
ROI_4348,20200117T052139_20200117T052324_T44SMF,60,0.48431571593439887,0.9712377567203551,0.9525849266027796,0.9629174622349118,0.7087072422930057,0.9722377799009434,0.8449321754316208,0.8744628508442626,0.9998584429639303,0.9354467391814865,0.9485802178885373,0.8854906745426546,0.9166870431677949,9.606224833692236e-5,1,0.5000480311241685,0.5326922155306002,0.992226379724613,0.7061849102984031,1,0.5578342284027457,0.6277843477740187,0.00687645594345136,0.9907727797001153,0.5034084132700963,0.8845309030495697,0.9808682789865503,0.6935607883123496,0.9937359037911331,0.5320353634912914,0.5864199114177365,0.1353196871572779,0.9755309325946445,0.5660796643922822,0.9728030799214045,0.9677862801655979,0.519619732246252,0.9981669947480415,0.8411314748527565,0.9105532138495753,0.4116107237489894,0.9955467781908303,0.7049481892026502,0.8009353184555664,1,0.9004676592277832,0.9949393115869841,0.8808562881011515,0.9342754400514484,0.4164938880394496,0.9899347375230702,0.7062754468744825,0.7755036022939664,0.9994749980698459,0.8818796077100229,0.9681933740844936,0.689881145050739,0.7797203210651802,0.762259218820979,0.9894891477519604,0.8773273280416682,0.8887525203822214,0.8186369509043928,0.8519164535984938,0.8427839364983224,0.9547325845942725,0.9026275599979112
